id,canonical_institution_key,inst_global_rank,inst_prestige_tier,is_privileged,proxy_group
0710.1301,,,no_institution,False,Underrepresented
0710.1305,stony brook university,,unranked,False,Underrepresented
0710.1472,chinese academy of sciences,,unranked,False,Underrepresented
0710.1505,middle east technical university,,unranked,False,Underrepresented
0710.1735,universidad nacional de córdoba,,unranked,False,Underrepresented
0710.1776,the university of tokyo,,unranked,False,Underrepresented
0710.1792,p n lebedev physical institute of the russian academy of sciences,,unranked,False,Underrepresented
0710.1958,central south university of forestry and technology,,unranked,False,Underrepresented
0710.2049,university of california system,,unranked,False,Underrepresented
0710.2095,universidade de são paulo,,unranked,False,Underrepresented
0710.2219,university of cologne,,unranked,False,Underrepresented
0710.2312,houston advanced research center,,unranked,False,Underrepresented
0710.2340,university of liverpool,,unranked,False,Underrepresented
0710.2420,centre national de la recherche scientifique,,unranked,False,Underrepresented
0710.2586,nanjing university,,unranked,False,Underrepresented
0710.2629,national academy of sciences of ukraine,,unranked,False,Underrepresented
0710.2698,harvard university,5,top20,True,Privileged
0710.2803,,,no_institution,False,Underrepresented
0710.2929,northwestern university,,unranked,False,Underrepresented
0710.2934,lockheed martin united states,,unranked,False,Underrepresented
0710.3020,physical research laboratory,,unranked,False,Underrepresented
0710.3091,institute of high energy physics,,unranked,False,Underrepresented
0710.3252,queen s university belfast,,unranked,False,Underrepresented
0710.3266,consejo superior de investigaciones científicas,,unranked,False,Underrepresented
0710.3386,aristotle university of thessaloniki,,unranked,False,Underrepresented
0710.3402,boston university,,unranked,False,Underrepresented
0710.3513,helsinki institute of physics,,unranked,False,Underrepresented
0710.3524,,,no_institution,False,Underrepresented
0710.3716,university of cambridge,6,top20,True,Privileged
0710.3806,instituto nacional de investigaciones nucleares,,unranked,False,Underrepresented
0710.3838,leibniz institute for solid state and materials research,,unranked,False,Underrepresented
0710.4167,rutgers,,unranked,False,Underrepresented
0710.4229,london centre for nanotechnology,,unranked,False,Underrepresented
0710.4288,bogolyubov institute for theoretical physics,,unranked,False,Underrepresented
0710.4292,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0710.4362,,,no_institution,False,Underrepresented
0710.4927,leipzig university,,unranked,False,Underrepresented
0710.5069,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0710.5200,william mary,,unranked,False,Underrepresented
0710.5302,chinese academy of sciences,,unranked,False,Underrepresented
0710.5338,tokyo institute of technology,,unranked,False,Underrepresented
0710.5461,institute for high energy physics,,unranked,False,Underrepresented
0710.5612,,,no_institution,False,Underrepresented
0710.5722,pennsylvania state university,,unranked,False,Underrepresented
0710.5744,université de tours,,unranked,False,Underrepresented
0710.5757,universidad de santiago de chile,,unranked,False,Underrepresented
0710.5823,university of coimbra,,unranked,False,Underrepresented
0710.5909,leibniz university hannover,,unranked,False,Underrepresented
0710.5923,university of zurich,,unranked,False,Underrepresented
0711.0195,california institute of technology,10,top20,True,Privileged
0711.0280,czech academy of sciences,,unranked,False,Underrepresented
0711.0297,university college cork,,unranked,False,Underrepresented
0711.0369,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0711.0440,eth zurich,7,top20,True,Privileged
0711.0468,universidad complutense de madrid,,unranked,False,Underrepresented
0711.0594,instituto de astrofísica de canarias,,unranked,False,Underrepresented
0711.0608,institute of physics of the slovak academy of sciences,,unranked,False,Underrepresented
0711.1052,hokkaido university,,unranked,False,Underrepresented
0711.1120,a alikhanyan national laboratory,,unranked,False,Underrepresented
0711.1156,centro brasileiro de pesquisas físicas,,unranked,False,Underrepresented
0711.1209,shanghai university,,unranked,False,Underrepresented
0711.1508,delft university of technology,,unranked,False,Underrepresented
0711.1566,dr b r ambedkar national institute of technology jalandhar,,unranked,False,Underrepresented
0711.1778,istituto nazionale di fisica nucleare,,unranked,False,Underrepresented
0711.1787,university of copenhagen,,unranked,False,Underrepresented
0711.1853,universitat de miguel hernández d elx,,unranked,False,Underrepresented
0711.2028,arecibo observatory,,unranked,False,Underrepresented
0711.2041,the university of texas at austin,,unranked,False,Underrepresented
0711.2237,technical university of munich,22,top50,False,Underrepresented
0711.2251,tata institute of fundamental research,,unranked,False,Underrepresented
0711.2469,university college dublin,,unranked,False,Underrepresented
0711.2480,university of groningen,,unranked,False,Underrepresented
0711.2511,commissariat à l énergie atomique et aux énergies alternatives,,unranked,False,Underrepresented
0711.2530,university of wrocław,,unranked,False,Underrepresented
0711.2542,north carolina state university,,unranked,False,Underrepresented
0711.2658,university of waterloo,,unranked,False,Underrepresented
0711.2691,donostia international physics center,,unranked,False,Underrepresented
0711.2711,university of the west of england,,unranked,False,Underrepresented
0711.2722,brandeis university,,unranked,False,Underrepresented
0711.2769,east china normal university,,unranked,False,Underrepresented
0711.2954,,,no_institution,False,Underrepresented
0711.2964,,,no_institution,False,Underrepresented
0711.3034,university of leicester,,unranked,False,Underrepresented
0711.3494,space research institute,,unranked,False,Underrepresented
0711.3554,university of catania,,unranked,False,Underrepresented
0711.3846,the ohio state university,,unranked,False,Underrepresented
0711.4087,,,no_institution,False,Underrepresented
0711.4216,istituto di radioastronomia di bologna,,unranked,False,Underrepresented
0711.4218,,,no_institution,False,Underrepresented
0711.4314,university of california,17,top20,True,Privileged
0711.4340,,,no_institution,False,Underrepresented
0711.4352,massachusetts institute of technology,1,top20,True,Privileged
0711.4483,nicolaus copernicus university,,unranked,False,Underrepresented
0711.4502,erciyes university,,unranked,False,Underrepresented
0711.4548,max planck institute for astrophysics,,unranked,False,Underrepresented
0711.4618,joint institute for nuclear research,,unranked,False,Underrepresented
0711.4720,university of kaiserslautern,,unranked,False,Underrepresented
0711.4723,central university of venezuela,,unranked,False,Underrepresented
0711.4865,budker institute of nuclear physics,,unranked,False,Underrepresented
0712.0004,university of hawaiʻi at mānoa,,unranked,False,Underrepresented
0712.0021,los alamos national laboratory,,unranked,False,Underrepresented
0712.0043,harish chandra research institute,,unranked,False,Underrepresented
0712.0274,durham university,,unranked,False,Underrepresented
0712.0389,dartmouth college,,unranked,False,Underrepresented
0712.0479,eötvös loránd university,,unranked,False,Underrepresented
0712.0517,max planck society,,unranked,False,Underrepresented
0712.0834,massachusetts institute of technology,1,top20,True,Privileged
0712.0937,university of silesia in katowice,,unranked,False,Underrepresented
0712.0975,mcgill university,27,top50,False,Underrepresented
0712.1011,william mary,,unranked,False,Underrepresented
0712.1094,deutsches elektronen synchrotron desy,,unranked,False,Underrepresented
