query_arxiv_id,P@10,ndcg@10,rr@10,spd@10,tpr_gap@10,fpr_gap@10,priv_share@10,P@100,ndcg@100,rr@100,spd@100,tpr_gap@100,fpr_gap@100,priv_share@100
2508.08818,0.1,0.09109240322345807,0.1111111111111111,-0.0002082769249994793,-0.0016420361247947454,-0.00018985739600033754,0.0,0.06,0.37318934334840975,0.1111111111111111,-0.0014514409469942348,-0.009852216748768473,-0.0013494898872678273,0.01
2509.24344,0.1,0.23719771276929622,0.2,-0.0002082769249994793,-0.0024630541871921183,-0.00018904782910076249,0.0,0.02,0.33364162582263374,0.2,-0.002082769249994793,-0.0049261083743842365,-0.0020585208057638583,0.0
2511.02535,0.7,0.7421246259355072,1.0,-0.0002082769249994793,-0.00421179302045728,-6.47235226855947e-05,0.0,0.44,0.8700619614815005,1.0,0.0004425439620074408,0.026178384221583147,-0.000553285692976667,0.04
2512.09874,0.8,0.8200685179888282,1.0,0.00042305137800107914,0.010535989013825646,-4.726344645051517e-05,0.1,0.51,0.900346752802204,1.0,0.0004425439620074408,0.026868630548585945,-0.0004904077115927891,0.04
2603.01074,0.9,0.933745776545611,1.0,-0.0002082769249994793,-0.002881844380403458,-2.2276676319893072e-05,0.0,0.91,0.9758026597410547,1.0,-0.0008201126439936761,0.0180133890340981,-0.00020049008687903766,0.02
2603.15074,0.9,0.9363792118010481,1.0,0.00042305137800107914,0.03984771573604061,-2.1175224986765485e-05,0.1,0.47,0.9297486149986167,1.0,-0.00018878434099311786,-0.008375634517766496,0.0001561574688146389,0.03
2603.17536,0.6,0.6749359875559982,1.0,-0.0002082769249994793,-0.002150537634408602,-8.84505671892621e-05,0.0,0.48,0.8500316766412701,1.0,-0.0008201126439936761,0.022728231077377186,-0.0011498573734604074,0.02
2603.28815,0.9,0.7799082337019198,0.5,0.00042305137800107914,0.016938505620454045,-2.246030141724502e-05,0.1,0.71,0.9124707469214101,0.5,-0.0014514409469942348,-0.0008265373594886494,-0.0006513487411001056,0.01
2605.21580,0.6,0.5711601909662335,1.0,0.00042305137800107914,-0.002148997134670487,0.0006075135881040885,0.1,0.67,0.8643094410402922,1.0,0.0004425439620074408,-0.0034421166226323817,-3.3781385470135826e-05,0.04
astro-ph/0406299,0.4,0.46270962158308354,1.0,-0.0002082769249994793,-0.0025974025974025974,-0.0001291072235491576,0.0,0.26,0.7338272806657399,1.0,0.003599185477010233,0.02312834224598931,0.0011568649041324428,0.09
astro-ph/0510756,0.7,0.7353797772725617,1.0,0.0004234282207294508,0.003513831807147836,-6.45536117745788e-05,0.1,0.39,0.8462691977063624,1.0,-0.0001876234479461919,-0.009195568053452542,-0.0006252932741067555,0.03
astro-ph/9402047,0.4,0.34948673995165525,0.3333333333333333,0.00042305137800107914,0.00540488922841864,-0.0001291072235491576,0.1,0.51,0.7844241809645661,0.3333333333333333,0.001073872265007999,0.006894576012223073,-0.0010543756589847869,0.05
cond-mat/0109465,0.8,0.8364586133797036,1.0,0.00042305137800107914,0.004910135260329813,-4.37636761487965e-05,0.1,0.8,0.9569797342376235,1.0,0.004230513780010791,0.04910135260329812,-0.000437636761487965,0.1
cond-mat/0305445,0.1,0.06794340091829076,0.1,-0.00020827258716207774,-0.002570694087403599,-0.0001889763779527559,0.0,0.09,0.39646704926159687,0.1,0.003602581399402979,0.027053494919818826,0.0032077128972739797,0.09
cond-mat/0306272,0.8,0.8414929602590189,1.0,0.0010543796810016375,0.02163792291018754,-4.343293954134816e-05,0.2,0.6,0.9097429138281563,1.0,0.004230513780010791,0.03373857317877674,0.0024512273473648784,0.1
cond-mat/0307127,0.8,0.7827392871477701,1.0,-0.0002082769249994793,-0.004678362573099415,-4.3193745545644993e-05,0.0,0.88,0.9529546341958278,1.0,0.0054931703860119085,0.03663663663663664,-0.0002591624732738699,0.12
cond-mat/0401469,0.4,0.31017134364653787,0.25,-0.0002082769249994793,-0.0026298487836949377,-0.00012905446098253462,0.0,0.37,0.7131921598468715,0.25,0.0017052005680085573,-0.00874326591892608,0.0019351597309774464,0.06
cond-mat/0504200,0.9,0.8611375561264454,1.0,-0.0002082769249994793,-0.005344418052256532,-2.1584752530812233e-05,0.0,0.7,0.9327332023721702,1.0,-0.0008201126439936761,-0.014064258032254036,-0.000647542575924367,0.02
gr-qc/0102040,0.4,0.5352543167750637,1.0,0.0010543796810016375,0.008302694947171861,0.0005422428487572992,0.2,0.3,0.8110819997661652,1.0,0.004230513780010791,0.015318313930487347,0.003188798606118157,0.1
hep-lat/0203030,1.0,1.0,1.0,0.0004234282207294508,0.004627854222591988,0.0,0.1,0.47,0.9166980416669328,1.0,0.002339179783619922,0.0012414608939818397,0.002258184940456192,0.07
hep-ph/0310257,1.0,1.0,1.0,-0.0002082769249994793,-0.003239390994493035,0.0,0.0,0.79,0.9820793965523705,1.0,0.0023365288710091164,0.022864073647177584,0.00021751401103831244,0.07
hep-th/9505153,0.3,0.24309789328476902,0.3333333333333333,-0.0002082769249994793,-0.0010672358591248667,-0.00015486040440688465,0.0,0.23,0.6136665092577199,0.3333333333333333,-0.00018878434099311786,-0.0022084187721591337,-0.0002893556049465625,0.03
math-ph/0207040,0.0,0.0,0.05555555555555555,-0.0002082769249994793,0.0,-0.0002145416318036515,0.0,0.06,0.33463127483978305,0.05555555555555555,-0.0014514409469942348,-0.0042796005706134095,-0.0013698463064806504,0.01
