query_arxiv_id,rank,score,doc_arxiv_id,top_uni,relevant
1006.1997,71,0.8517494797706604,2304.07053,False,False
1006.1997,72,0.8517274856567383,1305.5692,False,True
1006.1997,73,0.8509792685508728,1905.10973,False,True
1006.1997,74,0.8508487343788147,0902.1133,False,False
1006.1997,75,0.8508293628692627,1807.02375,False,False
1006.1997,76,0.8507044315338135,0711.2522,False,False
1006.1997,77,0.850516676902771,0709.4518,False,True
1006.1997,78,0.8504876494407654,1803.03637,False,False
1006.1997,79,0.8504438400268555,2210.03169,True,True
1006.1997,80,0.8504378795623779,2004.00767,False,True
1006.1997,81,0.8503661155700684,2409.17009,False,False
1006.1997,82,0.8502944707870483,2009.13489,False,False
1006.1997,83,0.8502730131149292,1104.4703,False,True
1006.1997,84,0.8502134084701538,2103.15661,False,True
1006.1997,85,0.850158154964447,2011.00280,False,False
1006.1997,86,0.8500881195068359,0902.0028,False,True
1006.1997,87,0.8500314950942993,2509.09548,False,False
1006.1997,88,0.8500086665153503,1705.00639,False,True
1006.1997,89,0.8499062061309814,1803.11165,False,False
1006.1997,90,0.8498923182487488,0807.4235,False,False
1006.1997,91,0.8497756719589233,1503.06935,False,False
1006.1997,92,0.8497355580329895,2303.13061,False,True
1006.1997,93,0.8497327566146851,1806.02729,False,True
1006.1997,94,0.8495450615882874,1703.07181,False,False
1006.1997,95,0.8492674827575684,1409.2443,False,False
1006.1997,96,0.8489896059036255,2212.02665,False,False
1006.1997,97,0.8487339615821838,2509.08677,False,False
1006.1997,98,0.8486711978912354,1009.3231,False,False
1006.1997,99,0.8486422300338745,1101.5064,False,False
1006.1997,100,0.8486045598983765,2010.01223,False,False
1008.4682,1,0.9287160634994507,cond-mat/0311090,False,False
1008.4682,2,0.8983466625213623,cond-mat/0108354,False,False
1008.4682,3,0.8974156379699707,1108.1740,False,False
1008.4682,4,0.8955913782119751,1906.10069,False,False
1008.4682,5,0.893229067325592,1311.1031,False,False
1008.4682,6,0.8931012749671936,cond-mat/0011174,True,False
1008.4682,7,0.8911471962928772,1812.00036,False,False
1008.4682,8,0.8911083340644836,2312.13144,False,False
1008.4682,9,0.8901207447052002,cond-mat/9707221,False,False
1008.4682,10,0.8885402083396912,2208.08452,False,False
1008.4682,11,0.8863275647163391,1011.2260,False,False
1008.4682,12,0.8856896162033081,1402.1581,False,False
1008.4682,13,0.8849079012870789,1807.03652,False,False
1008.4682,14,0.8839016556739807,cond-mat/0605471,False,False
1008.4682,15,0.8825887441635132,1408.5024,False,False
1008.4682,16,0.8823509216308594,2510.26821,False,False
1008.4682,17,0.881968080997467,1610.07685,False,False
1008.4682,18,0.881870687007904,0911.1724,True,False
1008.4682,19,0.881436824798584,1510.01474,False,False
1008.4682,20,0.8811097145080566,cond-mat/0109324,False,False
1008.4682,21,0.8798034191131592,hep-th/9304153,False,True
1008.4682,22,0.8792569637298584,2303.15295,False,False
1008.4682,23,0.8763068318367004,quant-ph/0004040,False,False
1008.4682,24,0.8758198022842407,1503.01808,False,False
1008.4682,25,0.8750699162483215,math-ph/0212012,False,False
1008.4682,26,0.8738992214202881,math-ph/0607038,True,False
1008.4682,27,0.8736487030982971,1007.1818,False,False
1008.4682,28,0.8729971647262573,1906.10677,False,False
1008.4682,29,0.8722953796386719,1909.12821,False,False
1008.4682,30,0.8722002506256104,1407.4127,False,True
1008.4682,31,0.872080385684967,1001.1821,True,False
1008.4682,32,0.8720410466194153,2301.09005,False,False
1008.4682,33,0.8716557621955872,2312.11052,False,False
1008.4682,34,0.8715856671333313,quant-ph/0303081,False,False
1008.4682,35,0.8710616827011108,1302.7164,False,False
1008.4682,36,0.8695375919342041,2002.10873,False,False
1008.4682,37,0.8690686821937561,1204.3023,False,False
